Site,Habitat ,Lat,Long,2021,2024,total
F01,Open,-18.89415,34.41029,39,10,49
D05,Closed,-18.93736,34.37011,9,20,29
E02,Open,-18.90462,34.39067,48,8,56
G08,Closed,-18.96919,34.42989,11,12,23
G06,Closed,-18.94693,34.42875,88,26,114
F07,Open,-18.95876,34.40989,88,88,176
E08,Closed,-18.96963,34.39055,7,25,32
N10,Open,-18.89013,34.32715,18,0,18
N11,Open,-18.88995,34.36712,9,0,9
I04,Open,-18.92462,34.46827,34,4,38
J03,Open,-18.91429,34.48894,24,1,25
F03,Open,-18.91473,34.40948,1,36,37
I06,Closed,-18.94774,34.46872,17,57,74
I08,Closed,-18.96885,34.46894,48,27,75
L11,Closed,-19.00154,34.52876,16,88,104
J13,Open,-19.02426,34.48905,88,29,117
I10,Closed,-18.99024,34.46918,10,11,21
D09,Closed,-18.98033,34.36717,2,NA,2
N03,Open,-18.85746,34.34698,7,NA,7
