Year,Camera trap site,video_name,Predator cue ,"Sound quality - Good, Poor, None",Sound delay (s),Focal individual sex,Focal individual age,Number of individuals ,Alarm calling by focal individual,Alarm calling by other individual,Presence of offspring,Other species present (list w commas),Day or night,Video duration (s),Notes (here could record anything unusual and also notes about interspecies interactions ),
2021,N11,07100008_Baboon.AVI,Lion,Good,None,F,A,1,None,None,None,NA,Day     ,30,,
2021,N11,08030104_Baboon.AVI,Lion,Good,None,J,J,1,None,None,None,NA,Day,30,,
2021,N11,07080025_Baboon.AVI,Lion,Good,None,M,A,1,None,None,None,NA,Day,30,,
2021,N11,07020003_Baboon.AVI,Hyena,Good,None,J,J,1,None,None,None,NA,Day,30,,
2021,N11,07020002_Baboon.AVI,Hyena,Good,None,F,A,1,None,None,None,NA,Day,30,,
2021,N11,06290071_Baboon.AVI,Hyena,Good,None,M,A,1,None,None,None,NA,Day,30,,
2021,N11,06290070_Baboon.AVI,Cheetah,Good,None,F,A,3,None,None,None,Reedbuck,Day,30,,
2021,N11,06270026_Baboon.AVI,Lion,Good,None,NA,A,1,None,None,None,Impala,Day,30,only tail in vid,
2021,N11,06270024_Baboon.AVI,Cheetah,Good,None,M,A,1,None,None,None,NA,Day,30,,
2021,D05,08020016_Baboon.AVI,Lion,Good,None,F,A,1,None,None,None,NA,Day,30,,
2021,D05,08070005_Baboon.AVI,Cheetah,Good,None,NA,A,1,None,None,None,NA,Day,30,,
2021,D05,08100018_BaboonNyala.AVI,Leopard,Good,None,M,A,1,None,None,None,Nyala,Day,30,,
2021,D05,08120025_Baboon.AVI,WD,Good,None,J,J,1,None,None,None,NA,Day,30,,
2021,D05,07110004_Baboon.AVI,Cheetah,Good,None,J,J,1,None,None,None,NA,Day,30,,
2021,D05,07180012_Baboon.AVI,Leopard,Good,None,J,J,1,None,None,None,NA,Day,30,,
2021,D05,07220019_Baboon.AVI,Lion,Good,None,NA,NA,2,None,None,None,NA,Day,30,,
2021,D05,07220020_Baboon.AVI,Leopard,Good ,None,M,A,1,None,None,None,NA,Day,30,,
2021,D05,08120024_Baboon_.AVI,Cheetah,Good,None,NA,A,1,None,None,None,NA,Day,30,,
2021,D09,08110010_Baboon.AVI,Cheetah,Good,None,F,A,1,None,None,None,NA,Day,30,,
2021,D09,08110011_BaboonFAR.AVI,Lion,Good,None,NA,A,1,None,None,None,NA,Day,30,,
2021,E08,07110021_Baboon.AVI,Lion,Good,None,M,A,1,None,None,None,NA,Day,30,,
2021,E08,07310009_Baboon.AVI,Lion,Good,None,J,J,1,None,None,None,NA,Day,30,,
2021,E08,08160007_Baboon.AVI,WD,Good,None,M,A,1,None,None,None,NA,Day,30,,
2021,E08,07210012_Baboon.AVI,Lion,Good,None,M,A,1,None,None,None,NA,Day,30,,
2021,E08,07260014_Baboon.AVI,Hyena,Good,None,M,A,1,None,None,None,NA,Day,30,,
2021,E08,07260015_Baboon.AVI,WD,Good,None,J,J,2,None,None,None,NA,Day,30,,
2021,E08,07290019_Baboon.AVI,WD,Good,None,M,A,1,None,None,None,NA,Day,30,,
2021,E02,06290025_Baboon.AVI,Control,Good,None,M,A,1,None,None,None,NA,Day,30,,
2021,E02,06290026_Baboon.AVI,Hyena,Good,None,M,A,2,None,None,None,NA,Night,15,,
2021,E02,06290027_Baboon.AVI,Hyena,Good,None,M,A,1,None,None,None,NA,Night,15,,
2021,E02,06290028_Baboon.AVI,Leopard,Good,7,F,A,2,None,None,None,NA,Night,15,,
2021,E02,06290029_Baboon.AVI,Hyena,Good,None,M,A,7,None,None,None,NA,Night,15,,
2021,E02,06290030_Baboon.AVI,Cheetah,Good,None,M,A,7,None,None,None,NA,Night,15,,
2021,E02,06290031_Baboon.AVI,Cheetah,Good,9,F,A,9,None,None,None,NA,Night,15,,
2021,E02,06290032_Baboon_NOSOUND.AVI,NA,None,None,F,A,11,None,None,None,NA,Night,15,,
2021,E02,07010033_Baboon.AVI,Leopard,None,None,M,A,3,None,None,None,NA,Day,30,,
2021,E02,06300034_Baboon.AVI,Cheetah,Good,None,F,A,1,None,None,None,NA,Day,30,,
2021,E02,06300035_Baboon.AVI,Lion,Good,None,J,J,2,None,None,None,NA,Day,30,,
2021,E02,06300036_Baboon_NOSOUND.AVI,NA,None,None,M,A,1,None,None,None,NA,Day,30,,
2021,E02,06300037_Baboon_NOSOUND.AVI,NA,None,None,M,A,2,None,None,None,NA,Day,30,,
2021,E02,06300038_Baboon.AVI,Leopard,Good,None,F,A,1,None,None,None,NA,Day,30,,
2021,E02,07010047_Baboon.AVI,Lion,Good,None,F,A,1,None,None,None,NA,Day,30,,
2021,E02,07010048_Baboon.AVI,WD,Good,None,M,A,4,None,None,None,NA,Day,30,,
2021,E02,07020006_Baboon.AVI,Cheetah,Good,None,F,A,2,None,None,None,NA,Night,15,,
2021,E02,07030008_Baboon.AVI,WD,Good,None,F,A,1,None,None,None,NA,Day,30,,
2021,E02,07030010_Baboon.AVI,Lion,Good,None,F,A,1,None,None,None,NA,Day,30,,
