year,site,video_name,predator_cue,predator_file,sound_quality,sound_delay_s,sex,age,group_number,offspring,other_species,day_or_night,duration_s,volume_change
2024,D05,0790076_Baboon.AVI,Lion,21,Good,1.5,M,A,3,0,None,Day,30,post
2024,D05,07210017_Baboon.AVI,Hyena,14,Good,1.5,F,A,2,1,None,Day,30,post
2024,D05,07220025_Baboon.AVI,Leopard,29,Good,1.5,F,A,1,0,None,Day,30,post
2024,D05,07220026_Baboon.AVI,Cheetah,9,Good,1.5,M,A,1,0,None,Day,30,post
2024,D05,07230031_Baboon.AVI,Lion,19,Good,1.5,M,A,1,0,None,Day,30,post
2024,D05,07230032_Baboon.AVI,Lion,20,Good,1.5,M,A,1,0,None,Day,30,post
2024,D05,07280071_Baboon.AVI,WD,4,Good,1.5,F,A,1,0,None,Day,30,post
2024,D05,07280072_Baboon.AVI,Lion,23,Good,1.5,J,J,1,0,None,Day,30,post
2024,D05,07290077-Baboon.AVI,None,None,None,NA,J,J,1,0,None,Day,30,post
2024,D05,07290080_Baboon.AVI,Leopard,28,Good,1.5,M,A,1,0,None,Day,30,post
2024,D05,07290081_Baboon.AVI,Cheetah,10,Good,1.5,J,J,1,0,None,Day,30,post
2024,D05,07290082_Baboon.AVI,Hyena,18,Good,1.5,F,A,1,0,None,Day,30,post
2024,D05,08060034_Baboon.AVI,Leopard,29,Good,1.5,NA,NA,1,0,None,Day,30,post
2024,D05,08120061_Baboon.AVI,Cheetah,9,Good,1.5,F,A,1,0,None,Day,30,post
2024,D05,08120062_Baboon.AVI,Cheetah,8,Good,1.5,M,A,1,0,None,Day,30,post
2024,D05,08120063_Baboon.AVI,None,None,None,NA,M,A,1,0,None,Day,30,post
2024,D05,08140067_Baboon.AVI,Cheetah,12,Good,1.5,F,A,1,0,None,Day,30,post
2024,D05,08140068_Baboon.AVI,Cheetah,9,Good,1.5,M,A,1,0,None,Day,30,post
2024,D05,08160082_Baboon.AVI,Cheetah,9,Good,1.5,F,A,1,0,None,Day,30,post
2024,D05,08170087_Baboon.AVI,Hyena,16,Good,1.5,M,A,1,0,None,Day,30,post
2024,E02,08010013_Baboon.AVI,Hyena,13,Good,1.5,F,A,1,0,None,Day,30,post
2024,E02,08030041_Baboon.AVI,Lion,20,Good,1.5,M,A,1,0,None,Day,30,post
2024,E02,08030042_Baboon.AVI,Leopard,29,Good,1.5,M,A,8,0,None,Day,30,post
2024,E02,08030043_Baboon.AVI,WD,3,Good,1.5,F,A,9,0,None,Day,30,post
2024,E02,08030044_Baboon.AVI,Cheetah,8,Good,1.5,F,A,5,0,None,Day,30,post
2024,E02,08030045_Baboon.AVI,Control,34,Good,1.5,F,A,7,0,None,Day,30,post
2024,E02,08170223_Baboon.AVI,Leopard,25,Good,1.5,F,A,1,0,None,Day,30,post
2024,E02,08170227_Baboon.AVI,Cheetah,7,Good,1.5,M,A,1,0,None,Day,30,post
2024,E08,08050174_Baboon.AVI,WD,6,Poor,1.5,NA,A,1,0,None,Day,30,post
2024,E08,08050173_Baboon.AVI,Cheetah,10,Good,1.5,NA,NA,1,0,None,Day,30,post
2024,E08,08050172_Baboon.AVI,WD,5,Good,1.5,F,A,1,0,None,Day,30,post
2024,E08,08050159_Baboon.AVI,Hyena,14,Good,1.5,M,A,2,0,None,Day,30,post
2024,E08,07290103_Baboon.AVI,WD,6,Poor,1.5,M,A,1,0,None,Day,30,post
2024,E08,07280075_Baboon.AVI,Cheetah,10,Good,1.5,M,A,1,0,None,Day,30,post
2024,E08,07260058_Baboon.AVI,Cheetah,10,Good,1.5,F,A,1,0,None,Day,30,post
2024,E08,8180139_Baboon.AVI,None,None,None,NA,J,J,1,0,None,Day,30,post
2024,E08,08190138_Baboon.AVI,Cheetah,8,Good,1.5,F,A,2,0,None,Day,30,post
